ID,Date,Element,Data_Value
MXM00076373,2014-08-28,TMIN,91
MXM00076471,2006-05-13,TMAX,300
MXM00076423,2009-07-16,TMAX,330
MXM00076423,2013-01-09,TMAX,174
MXM00076382,2010-05-30,TMAX,374
MXM00076423,2006-11-07,TMIN,82
MXM00076423,2006-11-07,TMAX,290
MXM00076373,2008-07-24,TMAX,326
MXM00076471,2006-05-13,TMIN,122
MXM00076373,2006-01-17,TMAX,188
MXM00076373,2015-04-30,TMIN,50
MXM00076382,2013-11-23,TMAX,306
MXM00076423,2011-06-10,TMAX,372
MXM00076382,2015-02-11,TMIN,92
MXM00076423,2007-04-09,TMAX,280
MXM00076382,2009-08-25,TMAX,374
MXM00076423,2007-04-09,TMIN,60
MXM00076423,2010-08-14,TMAX,296
MXM00076471,2008-07-04,TMAX,220
MXM00076373,2006-10-03,TMAX,284
MXM00076373,2006-10-03,TMIN,88
MXM00076423,2012-07-21,TMAX,285
MXM00076423,2007-05-01,TMIN,106
MXM00076423,2012-07-21,TMIN,140
MXM00076423,2013-04-27,TMIN,150
MXM00076382,2013-11-23,TMIN,120
MXM00076423,2011-03-08,TMAX,283
MXM00076423,2007-05-01,TMAX,325
MXM00076423,2008-09-29,TMAX,252
MXM00076423,2011-06-18,TMAX,380
MXM00076423,2008-07-12,TMAX,315
MXM00076471,2008-07-04,TMIN,110
MXM00076423,2008-07-12,TMIN,112
MXM00076382,2007-10-08,TMAX,360
MXM00076373,2014-02-11,TMIN,10
MXM00076382,2012-08-10,TMIN,229
MXM00076382,2008-10-08,TMAX,328
MXM00076423,2011-12-24,TMAX,227
MXM00076373,2012-07-04,TMIN,121
MXM00076423,2008-01-27,TMAX,263
MXM00076423,2011-03-03,TMAX,324
MXM00076382,2012-05-30,TMIN,235
MXM00076423,2012-12-27,TMAX,260
MXM00076423,2011-05-07,TMIN,97
MXM00076471,2010-05-26,TMAX,308
MXM00076373,2012-07-04,TMAX,304
MXM00076423,2009-06-14,TMIN,162
MXM00076423,2008-01-27,TMIN,42
MXM00076423,2011-03-03,TMIN,58
MXM00076382,2007-10-05,TMAX,350
MXM00076382,2007-10-05,TMIN,220
MXM00076373,2005-07-30,TMAX,290
MXM00076373,2005-07-30,TMIN,158
MXM00076373,2009-10-02,TMAX,295
MXM00076373,2014-02-11,TMAX,308
MXM00076382,2015-02-11,TMAX,286
MXM00076382,2009-08-25,TMIN,218
MXM00076373,2009-10-02,TMIN,92
MXM00076382,2012-05-30,TMAX,428
MXM00076382,2007-10-06,TMIN,204
MXM00076471,2007-01-01,TMAX,170
MXM00076423,2011-06-10,TMIN,143
MXM00076382,2008-11-21,TMAX,258
MXM00076423,2007-09-01,TMAX,284
MXM00076423,2012-10-02,TMIN,94
MXM00076423,2012-04-28,TMIN,186
MXM00076423,2012-04-28,TMAX,355
MXM00076423,2005-06-04,TMAX,362
MXM00076423,2011-03-28,TMIN,75
MXM00076382,2015-04-11,TMIN,190
MXM00076373,2015-10-13,TMAX,303
MXM00076471,2012-08-20,TMIN,120
MXM00076373,2015-06-07,TMIN,157
MXM00076423,2005-06-04,TMIN,144
MXM00076373,2015-06-07,TMAX,275
MXM00076423,2007-08-31,TMAX,280
MXM00076373,2012-10-08,TMAX,316
MXM00076471,2007-11-13,TMAX,241
MXM00076373,2012-10-08,TMIN,78
MXM00076423,2007-10-15,TMIN,102
MXM00076423,2007-08-31,TMIN,145
MXM00076382,2012-08-23,TMIN,204
MXM00076382,2015-04-11,TMAX,324
MXM00076423,2015-10-18,TMIN,115
MXM00076423,2012-06-18,TMAX,340
MXM00076382,2012-12-29,TMIN,90
MXM00076471,2007-06-06,TMAX,310
MXM00076471,2012-08-20,TMAX,266
MXM00076382,2006-11-11,TMIN,100
MXM00076382,2008-10-22,TMIN,148
MXM00076423,2015-09-07,TMAX,342
MXM00076423,2015-09-07,TMIN,120
MXM00076423,2007-10-03,TMAX,326
MXM00076423,2011-09-03,TMAX,303
MXM00076471,2011-03-03,TMAX,304
MXM00076373,2015-11-04,TMAX,268
MXM00076423,2013-01-09,TMIN,-34
MXM00076373,2012-09-01,TMAX,310
MXM00076382,2008-10-22,TMAX,320
MXM00076423,2011-09-03,TMIN,160
MXM00076373,2015-11-04,TMIN,41
MXM00076423,2007-02-27,TMAX,298
MXM00076423,2008-12-04,TMAX,230
MXM00076382,2012-06-28,TMAX,394
MXM00076423,2007-10-03,TMIN,121
MXM00076423,2013-02-04,TMAX,280
MXM00076382,2012-06-28,TMIN,225
MXM00076373,2006-06-13,TMIN,122
MXM00076373,2006-06-13,TMAX,372
MXM00076382,2009-10-05,TMIN,230
MXM00076382,2008-06-27,TMAX,392
